condition,qid,q_label,page_id,filename,gt,model,run,response,signed_error
naive,7,Archivist marks,28,AVS IS 758-781 1766 02.jpg,0,Claude,1,0,0
naive,8,Quondam count,28,AVS IS 758-781 1766 02.jpg,9,Claude,1,10,1
naive,9,Con count,28,AVS IS 758-781 1766 02.jpg,4,Claude,1,6,2
naive,11,E conjunction count,28,AVS IS 758-781 1766 02.jpg,2,Claude,1,7,5
naive,13,Named travelers,28,AVS IS 758-781 1766 02.jpg,19,Claude,1,24,5
naive,14,Unnamed travelers,28,AVS IS 758-781 1766 02.jpg,11,Claude,1,8,-3
naive,15,Places of origin,28,AVS IS 758-781 1766 02.jpg,10,Claude,1,10,0
naive,16,Unique places of stay,28,AVS IS 758-781 1766 02.jpg,8,Claude,1,8,0
naive,18,Stay w/ person name,28,AVS IS 758-781 1766 02.jpg,12,Claude,1,14,2
naive,19,Bracket total,28,AVS IS 758-781 1766 02.jpg,1,Claude,1,4,3
naive,7,Archivist marks,2,AVS IS 758-781 1767 02 01 p1.jpg,1,Claude,1,0,-1
naive,8,Quondam count,2,AVS IS 758-781 1767 02 01 p1.jpg,2,Claude,1,2,0
naive,9,Con count,2,AVS IS 758-781 1767 02 01 p1.jpg,9,Claude,1,9,0
naive,11,E conjunction count,2,AVS IS 758-781 1767 02 01 p1.jpg,3,Claude,1,5,2
naive,13,Named travelers,2,AVS IS 758-781 1767 02 01 p1.jpg,35,Claude,1,32,-3
naive,14,Unnamed travelers,2,AVS IS 758-781 1767 02 01 p1.jpg,18,Claude,1,12,-6
naive,15,Places of origin,2,AVS IS 758-781 1767 02 01 p1.jpg,23,Claude,1,15,-8
naive,16,Unique places of stay,2,AVS IS 758-781 1767 02 01 p1.jpg,7,Claude,1,6,-1
naive,18,Stay w/ person name,2,AVS IS 758-781 1767 02 01 p1.jpg,5,Claude,1,5,0
naive,19,Bracket total,2,AVS IS 758-781 1767 02 01 p1.jpg,4,Claude,1,5,1
naive,7,Archivist marks,3,AVS IS 758-781 1767 02 01 p2.jpg,0,Claude,1,0,0
naive,8,Quondam count,3,AVS IS 758-781 1767 02 01 p2.jpg,1,Claude,1,1,0
naive,9,Con count,3,AVS IS 758-781 1767 02 01 p2.jpg,1,Claude,1,1,0
naive,11,E conjunction count,3,AVS IS 758-781 1767 02 01 p2.jpg,0,Claude,1,1,1
naive,13,Named travelers,3,AVS IS 758-781 1767 02 01 p2.jpg,4,Claude,1,4,0
naive,14,Unnamed travelers,3,AVS IS 758-781 1767 02 01 p2.jpg,5,Claude,1,5,0
naive,15,Places of origin,3,AVS IS 758-781 1767 02 01 p2.jpg,2,Claude,1,2,0
naive,16,Unique places of stay,3,AVS IS 758-781 1767 02 01 p2.jpg,2,Claude,1,2,0
naive,18,Stay w/ person name,3,AVS IS 758-781 1767 02 01 p2.jpg,1,Claude,1,1,0
naive,19,Bracket total,3,AVS IS 758-781 1767 02 01 p2.jpg,1,Claude,1,1,0
naive,7,Archivist marks,4,AVS IS 758-781 1767 02 01 p3.jpg,0,Claude,1,0,0
naive,8,Quondam count,4,AVS IS 758-781 1767 02 01 p3.jpg,13,Claude,1,10,-3
naive,9,Con count,4,AVS IS 758-781 1767 02 01 p3.jpg,7,Claude,1,6,-1
naive,11,E conjunction count,4,AVS IS 758-781 1767 02 01 p3.jpg,3,Claude,1,3,0
naive,13,Named travelers,4,AVS IS 758-781 1767 02 01 p3.jpg,28,Claude,1,32,4
naive,14,Unnamed travelers,4,AVS IS 758-781 1767 02 01 p3.jpg,8,Claude,1,8,0
naive,15,Places of origin,4,AVS IS 758-781 1767 02 01 p3.jpg,12,Claude,1,10,-2
naive,16,Unique places of stay,4,AVS IS 758-781 1767 02 01 p3.jpg,12,Claude,1,9,-3
naive,18,Stay w/ person name,4,AVS IS 758-781 1767 02 01 p3.jpg,17,Claude,1,17,0
naive,19,Bracket total,4,AVS IS 758-781 1767 02 01 p3.jpg,0,Claude,1,4,4
naive,7,Archivist marks,5,AVS IS 758-781 1767 02 01 p4.jpg,0,Claude,1,0,0
naive,8,Quondam count,5,AVS IS 758-781 1767 02 01 p4.jpg,7,Claude,1,10,3
naive,9,Con count,5,AVS IS 758-781 1767 02 01 p4.jpg,2,Claude,1,2,0
naive,11,E conjunction count,5,AVS IS 758-781 1767 02 01 p4.jpg,3,Claude,1,2,-1
naive,13,Named travelers,5,AVS IS 758-781 1767 02 01 p4.jpg,11,Claude,1,14,3
naive,14,Unnamed travelers,5,AVS IS 758-781 1767 02 01 p4.jpg,4,Claude,1,3,-1
naive,15,Places of origin,5,AVS IS 758-781 1767 02 01 p4.jpg,5,Claude,1,5,0
naive,16,Unique places of stay,5,AVS IS 758-781 1767 02 01 p4.jpg,9,Claude,1,9,0
naive,18,Stay w/ person name,5,AVS IS 758-781 1767 02 01 p4.jpg,8,Claude,1,11,3
naive,19,Bracket total,5,AVS IS 758-781 1767 02 01 p4.jpg,0,Claude,1,0,0
naive,7,Archivist marks,1,AVS IS 758-781 1767 07 01.jpg,1,Claude,1,0,-1
naive,8,Quondam count,1,AVS IS 758-781 1767 07 01.jpg,10,Claude,1,12,2
naive,9,Con count,1,AVS IS 758-781 1767 07 01.jpg,4,Claude,1,5,1
naive,11,E conjunction count,1,AVS IS 758-781 1767 07 01.jpg,6,Claude,1,8,2
naive,13,Named travelers,1,AVS IS 758-781 1767 07 01.jpg,34,Claude,1,42,8
naive,14,Unnamed travelers,1,AVS IS 758-781 1767 07 01.jpg,12,Claude,1,12,0
naive,15,Places of origin,1,AVS IS 758-781 1767 07 01.jpg,17,Claude,1,15,-2
naive,16,Unique places of stay,1,AVS IS 758-781 1767 07 01.jpg,5,Claude,1,6,1
naive,18,Stay w/ person name,1,AVS IS 758-781 1767 07 01.jpg,3,Claude,1,5,2
naive,19,Bracket total,1,AVS IS 758-781 1767 07 01.jpg,5,Claude,1,6,1
naive,7,Archivist marks,22,AVS IS 758-781 1768 01 02.jpg,1,Claude,1,0,-1
naive,8,Quondam count,22,AVS IS 758-781 1768 01 02.jpg,4,Claude,1,4,0
naive,9,Con count,22,AVS IS 758-781 1768 01 02.jpg,11,Claude,1,10,-1
naive,11,E conjunction count,22,AVS IS 758-781 1768 01 02.jpg,3,Claude,1,5,2
naive,13,Named travelers,22,AVS IS 758-781 1768 01 02.jpg,21,Claude,1,24,3
naive,14,Unnamed travelers,22,AVS IS 758-781 1768 01 02.jpg,16,Claude,1,15,-1
naive,15,Places of origin,22,AVS IS 758-781 1768 01 02.jpg,13,Claude,1,12,-1
naive,16,Unique places of stay,22,AVS IS 758-781 1768 01 02.jpg,7,Claude,1,6,-1
naive,18,Stay w/ person name,22,AVS IS 758-781 1768 01 02.jpg,5,Claude,1,4,-1
naive,19,Bracket total,22,AVS IS 758-781 1768 01 02.jpg,2,Claude,1,4,2
naive,7,Archivist marks,23,AVS IS 758-781 1768 01 09.jpg,2,Claude,1,0,-2
naive,8,Quondam count,23,AVS IS 758-781 1768 01 09.jpg,2,Claude,1,3,1
naive,9,Con count,23,AVS IS 758-781 1768 01 09.jpg,6,Claude,1,6,0
naive,11,E conjunction count,23,AVS IS 758-781 1768 01 09.jpg,2,Claude,1,3,1
naive,13,Named travelers,23,AVS IS 758-781 1768 01 09.jpg,33,Claude,1,32,-1
